raw_start,length
59272,24
59297,5
59304,24
59329,5
59336,24
59361,5
60872,4
60877,5
60884,46
60931,5
60938,24
60963,5
60970,46
61017,5
61024,21
61046,106
61896,8
61910,8
61924,4
61934,4
61944,4
61954,4
61964,12
61977,9
62064,8
62076,24
62101,13
62116,20
62137,13
62152,22
62180,5
62190,5
62200,4
62210,5
62220,5
62230,4
62240,4
62248,4
62253,7
62266,4
62276,10
62348,26
62386,16
62414,8
62423,7
62432,22
62456,28
62664,8
62680,2
62684,26
62832,20
62858,6
62865,23
62894,6
62901,39
62944,20
62965,1
62982,4
62992,6
63002,26
63034,32
63070,14
63090,20
63114,11
63126,4
63131,9
63146,12
63160,4
63170,20
63192,8
63204,14
63219,1
63224,69
63294,210
63528,5
63534,8
63543,1
63548,14
63563,1
63568,14
63588,22
63614,22
63637,1
63640,22
65576,12
65592,54
65652,22
65678,54
65738,118
729988,15
730004,4
731192,15
731208,4
731278,15
731294,4
731364,1
731366,2
731374,5
731380,10
731402,18
731426,5
731432,10
731454,18
743512,3
743516,7
743524,3
743528,3
743532,1
743534,3
743540,3
743544,2
743547,4
743552,3
743560,3
743564,3
743568,10
743580,1
743582,1
743584,1
743587,3
743591,1
743593,2
743596,3
743601,1
743604,3
743608,2
743611,1
743613,2
743616,3
743620,2
743625,2
743628,1
743630,1
743632,3
743637,3
743641,2
743644,3
743650,1
743654,1
743658,1
743660,1
743662,3
743668,1
743672,1
743675,1
743677,2
743681,2
743688,4
743693,2
743697,7
743706,1
743709,2
743713,1
743715,4
743721,2
743724,4
743729,2
743732,3
743736,3
743741,2
743744,2
743747,9
743757,1
743759,4
743764,1
743766,2
743769,2
743773,2
743778,1
743783,1
743785,2
743788,5
743794,1
743797,1
743800,1
743803,1
743805,2
743808,3
743816,2
743821,6
743828,5
743835,8
743844,3
743849,8
743859,3
743863,4
743868,5
743875,5
743881,3
743885,1
743887,4
743892,1
743894,2
743897,3
743901,2
743904,4
743909,2
743912,12
743925,1
743928,8
743937,1
743944,1
743947,1
743950,5
743956,5
743962,1
743964,1
743966,2
743969,1
743971,2
743974,1
743977,2
743982,5
743988,2
743991,5
743997,4
744003,5
744009,3
744013,1
744015,6
744022,2
744025,2
744028,1
744030,1
744034,2
744038,1
744040,1
744043,8
744052,10
744063,1
744065,1
744067,1
744072,3
744076,1
744078,2
744081,2
744084,6
744092,5
744099,2
744102,1
744104,1
744106,1
744108,3
744112,2
744115,2
744119,3
744123,4
744128,1
744131,8
744141,1
744143,7
744151,4
744157,2
744161,2
744164,1
744166,3
744171,7
744181,8
744192,2
744195,1
744200,1
744202,1
744204,7
744212,4
744218,1
744220,7
744228,3
744232,2
744237,4
744242,1
744244,2
744248,1
744250,15
744266,4
744272,3
744276,1
744282,1
744284,1
744286,2
744289,2
744292,3
744299,1
744301,1
744305,2
744309,2
744313,7
744322,1
744329,1
744332,5
744338,2
744341,4
744347,2
744350,6
744358,2
744361,2
744364,7
744372,3
744376,1
744378,4
744384,3
744390,1
744392,1
744394,5
744401,2
744404,1
744406,3
744412,1
744414,2
744417,2
744420,3
744426,1
744429,2
744432,3
744437,1
744440,3
744444,1
744447,2
744450,1
744457,2
744460,5
744466,4
744472,3
744476,9
744486,1
744490,1
744495,1
744497,2
744500,3
744504,4
744509,1
744512,1
744514,1
744518,1
744520,2
744523,4
744528,2
744532,1
744534,3
744540,2
744543,2
744548,3
744553,2
744557,2
744560,3
744565,1
744568,3
744572,1
744575,4
744585,2
744588,6
744595,3
744600,1
744602,1
744604,11
744618,1
744620,5
744626,1
744628,1
744630,1
744632,3
744637,1
744640,3
744645,2
744648,5
744654,1
744656,2
744660,1
744662,3
744668,4
744673,6
744680,1
744682,8
744691,2
744694,6
744702,4
744712,1
744714,1
744716,15
744733,1
744735,7
744744,1
744746,6
744753,1
744756,1
744758,1
744761,2
744764,7
744772,1
744774,9
744785,1
744789,6
744798,2
744804,3
744813,1
744815,1
744824,4
744830,1
744832,3
744840,3
744847,1
744850,9
744867,5
744876,3
744880,3
744886,1
744891,4
744898,1
744907,1
744910,1
744912,3
744918,2
745304,280
745864,3
745868,1
745870,2
745873,2
745877,1
745881,2
745884,3
745888,3
745892,1
745894,1
745896,1
745899,3
745903,3
745907,6
745915,8
745924,1
745926,1
745928,3
745932,3
745936,1
745938,5
745944,4
745949,2
745952,3
745956,3
745960,3
745964,1
745968,2
745992,1
745994,1
745996,11
746008,1
746010,1
746012,3
746016,1
746018,1
746020,1
746022,1
746024,2
746027,3
746031,4
746037,3
746041,1
746043,1
746046,6
746053,2
746056,3
746060,4
746065,1
746067,4
746072,4
746077,1
746080,9
746090,1
746092,8
746120,3
746124,5
746131,5
746137,2
746140,5
746146,5
746152,2
746155,4
746160,3
746164,5
746170,6
746177,2
746180,1
746182,2
746186,1
746188,4
746193,1
746195,4
746200,4
746205,2
746208,1
746210,4
746215,1
746217,3
746221,2
746224,3
746248,1
746250,1
746252,5
746259,1
746261,3
746265,2
746270,1
746272,1
746276,3
746280,1
746282,4
746287,6
746294,2
746297,4
746302,2
746305,2
746308,6
746319,4
746324,3
746328,4
746333,1
746336,6
746343,1
746345,4
746350,1
746353,2
746376,1
746378,3
746382,3
746386,1
746389,2
746392,5
746399,4
746405,2
746408,1
746410,10
746421,3
746425,1
746427,1
746429,6
746436,4
746442,1
746444,3
746448,3
746452,1
746454,1
746456,4
746461,2
746464,1
746466,4
746471,1
746473,4
746478,1
746480,4
746504,3
746512,1
746514,1
746516,2
746519,1
746521,2
746524,4
746529,3
746533,7
746541,2
746544,12
746557,6
746565,3
746570,1
746572,4
746577,2
746580,1
746582,4
746587,3
746592,1
746594,4
746600,4
746605,2
746633,2
746636,4
746642,1
746644,7
746652,5
746660,2
746663,1
746666,1
746669,2
746672,2
746675,10
746686,2
746689,2
746692,3
746698,1
746700,4
746705,2
746710,1
746712,3
746716,11
746730,1
746736,3
746760,2
746767,1
746769,2
746772,4
746777,2
746780,7
746790,2
746794,1
746797,2
746800,2
746804,5
746810,5
746816,3
746821,2
746826,1
746831,2
746834,2
746837,1
746840,3
746844,5
746850,5
746858,1
746860,4
746865,2
746888,2
746892,11
746904,1
746906,1
746908,1
746911,2
746915,8
746925,2
746928,3
746932,11
746944,3
746948,3
746954,1
746956,5
746962,9
746973,2
746976,1
746978,3
746982,1
746985,2
746989,1
746992,3
747017,1
747020,4
747025,6
747033,1
747036,1
747039,1
747041,2
747044,2
747050,1
747052,2
747055,4
747060,3
747064,1
747066,3
747070,9
747084,10
747095,1
747097,3
747101,1
747108,1
747110,1
747112,1
747114,2
747117,1
747120,1
747122,1
747144,3
747148,4
747156,3
747160,3
747165,2
747169,2
747172,4
747179,1
747183,5
747190,6
747199,1
747202,1
747204,3
747212,3
747219,1
747221,2
747227,4
747238,1
747245,1
747248,3
747656,280
974161,6
974168,77
974246,1
975800,79
975880,85
975966,114
1050628,2
1050636,1
1050638,1
1050640,1
1050642,1
1050644,1
1050646,1
1050648,1
1050650,1
1050652,3
1050656,1
1050658,1
1050660,3
1050664,1
1050666,1
1050668,1
1050670,1
